time,x,r,u_r,a_s
0,0,0,0,1
0,0,0,0,1
0.01,0,0,0,1
0.02,0,0,0,1
0.03,0,0,0,1
0.04,0,0,0,1
0.05,0,0,0,1
0.06,0,0,0,1
0.07,0,0,0,1
0.08,0,0,0,1
0.09,0,0,0,1
0.1,0.01,0,1,1
0.11,0.0199,0,1,1
0.12,0.029701,0,1,1
0.13,0.039404,0,1,1
0.14,0.04901,0,1,1
0.15,0.0585199,0,1,1
0.16,0.0679347,0,1,1
0.17,0.0772553,0,1,1
0.18,0.0864828,0,1,1
0.19,0.0956179,0,1,1
0.2,0.104662,0,1,1
0.21,0.123615,0,2,1
0.22,0.142379,0,2,1
0.23,0.160955,0,2,1
0.24,0.179346,0,2,1
0.25,0.197552,0,2,1
0.26,0.215577,0,2,1
0.27,0.233421,0,2,1
0.28,0.251087,0,2,1
0.29,0.268576,0,2,1
0.3,0.28589,0,2,1
0.31,0.303031,0,2,1
0.32,0.330001,0,3,1
0.33,0.356701,0,3,1
0.34,0.383134,0,3,1
0.35,0.409302,0,3,1
0.36,0.435209,0,3,1
0.37,0.460857,0,3,1
0.38,0.486249,0,3,1
0.39,0.511386,0,3,1
0.4,0.536272,0,3,1
0.41,0.56091,0,3,1
0.42,0.585301,0,3,1
0.43,0.619448,0,4,1
0.44,0.653253,0,4,1
0.45,0.686721,0,4,1
0.46,0.719853,0,4,1
0.47,0.752655,0,4,1
0.48,0.785128,0,4,1
0.49,0.817277,0,4,1
0.5,0.849104,0,4,1
0.51,0.880613,0,4,1
0.52,0.911807,0,4,1
0.53,0.942689,0,4,1
0.54,0.983262,0,5,1
0.55,1.02343,0,5,1
0.56,1.0632,0,5,1
0.57,1.10256,0,5,1
0.58,1.14154,0,5,1
0.59,1.18012,0,5,1
0.6,1.21832,0,5,1
0.61,1.25614,0,5,1
0.62,1.29358,0,5,1
0.63,1.33064,0,5,1
0.64,1.36733,0,5,1
0.65,1.41366,0,6,1
0.66,1.45952,0,6,1
0.67,1.50493,0,6,1
0.68,1.54988,0,6,1
0.69,1.59438,0,6,1
0.7,1.63844,0,6,1
0.71,1.68205,0,6,1
0.72,1.72523,0,6,1
0.73,1.76798,0,6,1
0.74,1.8103,0,6,1
0.75,1.8522,0,6,1
0.76,1.90368,0,7,1
0.77,1.95464,0,7,1
0.78,2.00509,0,7,1
0.79,2.05504,0,7,-1
0.8,2.10449,0,7,-1
0.81,2.15345,0,7,-1
0.82,2.20191,0,7,-1
0.83,2.24989,0,7,-1
0.84,2.29739,0,7,-1
0.85,2.34442,0,7,-1
0.86,2.39098,0,7,-1
0.87,2.42707,0,6,-1
0.88,2.46279,0,6,-1
0.89,2.49817,0,6,-1
0.9,2.53319,0,6,-1
0.91,2.56785,0,6,-1
0.92,2.60217,0,6,-1
0.93,2.63615,0,6,-1
0.94,2.66979,0,6,-1
0.95,2.70309,0,6,-1
0.96,2.73606,0,6,-1
0.97,2.7687,0,6,-1
0.98,2.79102,0,5,-1
0.99,2.8131,0,5,-1
1,2.83497,0,5,-1
1.01,2.85662,0,5,-1
1.02,2.87806,0,5,-1
1.03,2.89928,0,5,-1
1.04,2.92028,0,5,-1
1.05,2.94108,0,5,-1
1.06,2.96167,0,5,-1
1.07,2.98205,0,5,-1
1.08,3.00223,0,5,-1
1.09,3.01221,0,4,-1
1.1,3.02209,0,4,-1
1.11,3.03187,0,4,-1
1.12,3.04155,0,4,-1
1.13,3.05113,0,4,-1
1.14,3.06062,0,4,-1
1.15,3.07002,0,4,-1
1.16,3.07932,0,4,-1
1.17,3.08852,0,4,-1
1.18,3.09764,0,4,-1
1.19,3.10666,0,4,-1
1.2,3.10559,0,3,-1
1.21,3.10454,0,3,-1
1.22,3.10349,0,3,-1
1.23,3.10246,0,3,-1
1.24,3.10143,0,3,-1
1.25,3.10042,0,3,-1
1.26,3.09942,0,3,-1
1.27,3.09842,0,3,-1
1.28,3.09744,0,3,-1
1.29,3.09646,0,3,-1
1.3,3.0955,0,3,-1
1.31,3.08454,0,2,-1
1.32,3.0737,0,2,-1
1.33,3.06296,0,2,-1
1.34,3.05233,0,2,-1
1.35,3.04181,0,2,-1
1.36,3.03139,0,2,-1
1.37,3.02108,0,2,-1
1.38,3.01087,0,2,-1
1.39,3.00076,0,2,-1
1.4,2.99075,0,2,-1
1.41,2.98084,0,2,-1
1.42,2.96103,0,1,-1
1.43,2.94142,0,1,-1
1.44,2.92201,0,1,-1
1.45,2.90279,0,1,-1
1.46,2.88376,0,1,-1
1.47,2.86492,0,1,-1
1.48,2.84627,0,1,-1
1.49,2.82781,0,1,-1
1.5,2.80953,0,1,-1
1.51,2.79144,0,1,-1
1.52,2.77352,0,1,-1
1.53,2.74579,0,0,-1
1.54,2.71833,0,0,-1
1.55,2.69115,0,0,-1
1.56,2.66424,0,0,-1
1.57,2.63759,0,0,-1
1.58,2.61122,0,0,-1
1.59,2.5851,0,0,-1
1.6,2.55925,0,0,-1
1.61,2.53366,0,0,-1
1.62,2.50832,0,0,-1
1.63,2.48324,0,0,-1
1.64,2.44841,0,-1,-1
1.65,2.41392,0,-1,-1
1.66,2.37979,0,-1,-1
1.67,2.34599,0,-1,-1
1.68,2.31253,0,-1,-1
1.69,2.2794,0,-1,-1
1.7,2.24661,0,-1,-1
1.71,2.21414,0,-1,-1
1.72,2.182,0,-1,-1
1.73,2.15018,0,-1,-1
1.74,2.11868,0,-1,-1
1.75,2.07749,0,-2,-1
1.76,2.03672,0,-2,-1
1.77,1.99635,0,-2,-1
1.78,1.95639,0,-2,1
1.79,1.91682,0,-2,1
1.8,1.87765,0,-2,1
1.81,1.83888,0,-2,1
1.82,1.80049,0,-2,1
1.83,1.76248,0,-2,1
1.84,1.72486,0,-2,1
1.85,1.68761,0,-2,1
1.86,1.66073,0,-1,1
1.87,1.63413,0,-1,1
1.88,1.60779,0,-1,1
1.89,1.58171,0,-1,1
1.9,1.55589,0,-1,1
1.91,1.53033,0,-1,1
1.92,1.50503,0,-1,1
1.93,1.47998,0,-1,1
1.94,1.45518,0,-1,1
1.95,1.43063,0,-1,1
1.96,1.40632,0,-1,1
1.97,1.39226,0,0,1
1.98,1.37834,0,0,1
1.99,1.36455,0,0,1
2,1.35091,0,0,1
2.01,1.3374,0,0,1
2.02,1.32402,0,0,1
2.03,1.31078,0,0,1
2.04,1.29768,0,0,1
2.05,1.2847,0,0,1
2.06,1.27185,0,0,1
2.07,1.25913,0,0,1
2.08,1.25654,0,1,1
2.09,1.25398,0,1,1
2.1,1.25144,0,1,1
2.11,1.24892,0,1,1
2.12,1.24643,0,1,1
2.13,1.24397,0,1,1
2.14,1.24153,0,1,1
2.15,1.23911,0,1,1
2.16,1.23672,0,1,1
2.17,1.23436,0,1,1
2.18,1.23201,0,1,1
2.19,1.23969,0,2,1
2.2,1.24729,0,2,1
2.21,1.25482,0,2,1
2.22,1.26227,0,2,1
2.23,1.26965,0,2,1
2.24,1.27695,0,2,1
2.25,1.28418,0,2,1
2.26,1.29134,0,2,1
2.27,1.29843,0,2,1
2.28,1.30545,0,2,1
2.29,1.31239,0,2,1
2.3,1.32927,0,3,1
2.31,1.34597,0,3,1
2.32,1.36251,0,3,1
2.33,1.37889,0,3,1
2.34,1.3951,0,3,1
2.35,1.41115,0,3,1
2.36,1.42704,0,3,1
2.37,1.44277,0,3,1
2.38,1.45834,0,3,1
2.39,1.47376,0,3,1
2.4,1.48902,0,3,1
2.41,1.51413,0,4,1
2.42,1.53899,0,4,1
2.43,1.5636,0,4,1
2.44,1.58796,0,4,1
2.45,1.61208,0,4,1
2.46,1.63596,0,4,1
2.47,1.6596,0,4,1
2.48,1.68301,0,4,1
2.49,1.70618,0,4,1
2.5,1.72911,0,4,1
2.51,1.75182,0,4,1
2.52,1.7843,0,5,1
2.53,1.81646,0,5,1
2.54,1.8483,0,5,1
2.55,1.87981,0,5,1
2.56,1.91102,0,5,1
2.57,1.94191,0,5,1
2.58,1.97249,0,5,1
2.59,2.00276,0,5,1
2.6,2.03273,0,5,-1
2.61,2.06241,0,5,-1
2.62,2.09178,0,5,-1
2.63,2.11086,0,4,-1
2.64,2.12976,0,4,-1
2.65,2.14846,0,4,-1
2.66,2.16697,0,4,-1
2.67,2.1853,0,4,-1
2.68,2.20345,0,4,-1
2.69,2.22142,0,4,-1
2.7,2.2392,0,4,-1
2.71,2.25681,0,4,-1
2.72,2.27424,0,4,-1
2.73,2.2915,0,4,-1
2.74,2.29858,0,3,-1
2.75,2.3056,0,3,-1
2.76,2.31254,0,3,-1
2.77,2.31942,0,3,-1
2.78,2.32622,0,3,-1
2.79,2.33296,0,3,-1
2.8,2.33963,0,3,-1
2.81,2.34624,0,3,-1
2.82,2.35277,0,3,-1
2.83,2.35925,0,3,-1
2.84,2.36565,0,3,-1
2.85,2.362,0,2,-1
2.86,2.35838,0,2,-1
2.87,2.35479,0,2,-1
2.88,2.35124,0,2,-1
2.89,2.34773,0,2,-1
2.9,2.34425,0,2,-1
2.91,2.34081,0,2,-1
2.92,2.3374,0,2,-1
2.93,2.33403,0,2,-1
2.94,2.33069,0,2,-1
2.95,2.32738,0,2,-1
2.96,2.31411,0,1,-1
2.97,2.30097,0,1,-1
2.98,2.28796,0,1,-1
2.99,2.27508,0,1,-1
3,2.26233,0,1,-1
3.01,2.2497,0,1,-1
3.02,2.23721,0,1,-1
3.03,2.22484,0,1,-1
3.04,2.21259,0,1,-1
3.05,2.20046,0,1,-1
3.06,2.18846,0,1,-1
3.07,2.16657,0,0,-1
3.08,2.14491,0,0,-1
3.09,2.12346,0,0,-1
3.1,2.10222,0,0,-1
3.11,2.0812,0,0,-1
3.12,2.06039,0,0,-1
3.13,2.03978,0,0,-1
3.14,2.01939,0,0,-1
3.15,1.99919,0,0,-1
3.16,1.9792,0,0,1
3.17,1.95941,0,0,1
3.18,1.94981,0,1,1
3.19,1.94032,0,1,1
3.2,1.93091,0,1,1
3.21,1.9216,0,1,1
3.22,1.91239,0,1,1
3.23,1.90326,0,1,1
3.24,1.89423,0,1,1
3.25,1.88529,0,1,1
3.26,1.87644,0,1,1
3.27,1.86767,0,1,1
3.28,1.859,0,1,1
3.29,1.86041,0,2,1
3.3,1.8618,0,2,1
3.31,1.86318,0,2,1
3.32,1.86455,0,2,1
3.33,1.86591,0,2,1
3.34,1.86725,0,2,1
3.35,1.86857,0,2,1
3.36,1.86989,0,2,1
3.37,1.87119,0,2,1
3.38,1.87248,0,2,1
3.39,1.87375,0,2,1
3.4,1.88502,0,3,1
3.41,1.89617,0,3,1
3.42,1.9072,0,3,1
3.43,1.91813,0,3,1
3.44,1.92895,0,3,1
3.45,1.93966,0,3,1
3.46,1.95026,0,3,1
3.47,1.96076,0,3,1
3.48,1.97115,0,3,1
3.49,1.98144,0,3,1
3.5,1.99163,0,3,1
3.51,2.01171,0,4,1
3.52,2.03159,0,4,-1
3.53,2.05128,0,4,-1
3.54,2.07077,0,4,-1
3.55,2.09006,0,4,-1
3.56,2.10916,0,4,-1
3.57,2.12807,0,4,-1
3.58,2.14679,0,4,-1
3.59,2.16532,0,4,-1
3.6,2.18366,0,4,-1
3.61,2.20183,0,4,-1
3.62,2.20981,0,3,-1
3.63,2.21771,0,3,-1
3.64,2.22553,0,3,-1
3.65,2.23328,0,3,-1
3.66,2.24095,0,3,-1
3.67,2.24854,0,3,-1
3.68,2.25605,0,3,-1
3.69,2.26349,0,3,-1
3.7,2.27086,0,3,-1
3.71,2.27815,0,3,-1
3.72,2.28537,0,3,-1
3.73,2.28251,0,2,-1
3.74,2.27969,0,2,-1
3.75,2.27689,0,2,-1
3.76,2.27412,0,2,-1
3.77,2.27138,0,2,-1
3.78,2.26867,0,2,-1
3.79,2.26598,0,2,-1
3.8,2.26332,0,2,-1
3.81,2.26069,0,2,-1
3.82,2.25808,0,2,-1
3.83,2.2555,0,2,-1
3.84,2.24294,0,1,-1
3.85,2.23051,0,1,-1
3.86,2.21821,0,1,-1
3.87,2.20603,0,1,-1
3.88,2.19397,0,1,-1
3.89,2.18203,0,1,-1
3.9,2.17021,0,1,-1
3.91,2.15851,0,1,-1
3.92,2.14692,0,1,-1
3.93,2.13545,0,1,-1
3.94,2.1241,0,1,-1
3.95,2.10286,0,0,-1
3.96,2.08183,0,0,-1
3.97,2.06101,0,0,-1
3.98,2.0404,0,0,-1
3.99,2.01999,0,0,-1
4,1.99979,0,0,-1
4.01,1.9798,0,0,1
4.02,1.96,0,0,1
4.03,1.9404,0,0,1
4.04,1.92099,0,0,1
4.05,1.90178,0,0,1
4.06,1.89277,0,1,1
4.07,1.88384,0,1,1
4.08,1.875,0,1,1
4.09,1.86625,0,1,1
4.1,1.85759,0,1,1
4.11,1.84901,0,1,1
4.12,1.84052,0,1,1
4.13,1.83212,0,1,1
4.14,1.8238,0,1,1
4.15,1.81556,0,1,1
4.16,1.8074,0,1,1
4.17,1.80933,0,2,1
4.18,1.81124,0,2,1
4.19,1.81312,0,2,1
4.2,1.81499,0,2,1
4.21,1.81684,0,2,1
4.22,1.81867,0,2,1
4.23,1.82049,0,2,1
4.24,1.82228,0,2,1
4.25,1.82406,0,2,1
4.26,1.82582,0,2,1
4.27,1.82756,0,2,1
4.28,1.83928,0,3,1
4.29,1.85089,0,3,1
4.3,1.86238,0,3,1
4.31,1.87376,0,3,1
4.32,1.88502,0,3,1
4.33,1.89617,0,3,1
4.34,1.90721,0,3,1
4.35,1.91814,0,3,1
4.36,1.92896,0,3,1
4.37,1.93967,0,3,1
4.38,1.95027,0,3,1
4.39,1.97077,0,4,1
4.4,1.99106,0,4,1
4.41,2.01115,0,4,1
4.42,2.03104,0,4,-1
4.43,2.05073,0,4,-1
4.44,2.07022,0,4,-1
4.45,2.08952,0,4,-1
4.46,2.10862,0,4,-1
4.47,2.12754,0,4,-1
4.48,2.14626,0,4,-1
4.49,2.1648,0,4,-1
4.5,2.17315,0,3,-1
4.51,2.18142,0,3,-1
4.52,2.1896,0,3,-1
4.53,2.19771,0,3,-1
4.54,2.20573,0,3,-1
4.55,2.21367,0,3,-1
4.56,2.22154,0,3,-1
4.57,2.22932,0,3,-1
4.58,2.23703,0,3,-1
4.59,2.24466,0,3,-1
4.6,2.25221,0,3,-1
4.61,2.24969,0,2,-1
4.62,2.24719,0,2,-1
4.63,2.24472,0,2,-1
4.64,2.24227,0,2,-1
4.65,2.23985,0,2,-1
4.66,2.23745,0,2,-1
4.67,2.23508,0,2,-1
4.68,2.23273,0,2,-1
4.69,2.2304,0,2,-1
4.7,2.2281,0,2,-1
4.71,2.22581,0,2,-1
4.72,2.21356,0,1,-1
4.73,2.20142,0,1,-1
4.74,2.18941,0,1,-1
4.75,2.17751,0,1,-1
4.76,2.16574,0,1,-1
4.77,2.15408,0,1,-1
4.78,2.14254,0,1,-1
4.79,2.13111,0,1,-1
4.8,2.1198,0,1,-1
4.81,2.1086,0,1,-1
4.82,2.09752,0,1,-1
4.83,2.07654,0,0,-1
4.84,2.05578,0,0,-1
4.85,2.03522,0,0,-1
4.86,2.01487,0,0,-1
4.87,1.99472,0,0,-1
4.88,1.97477,0,0,1
4.89,1.95502,0,0,1
4.9,1.93547,0,0,1
4.91,1.91612,0,0,1
4.92,1.89696,0,0,1
4.93,1.87799,0,0,1
4.94,1.86921,0,1,1
4.95,1.86052,0,1,1
4.96,1.85191,0,1,1
4.97,1.84339,0,1,1
4.98,1.83496,0,1,1
